track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:0S3gpZzlT9Hb7CCSV2owX7,0.282,0.6559999999999999,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867
spotify:track:7w6PJe5KBPyvuRYxFkPssC,0.346,0.7490000000000001,6,-6.506,1,0.035,0.0016699999999999,8.859999999999999e-05,0.648,0.315,102.591,443240
spotify:track:4nvYDy427VvA1TcEkdgZII,0.397,0.852,4,-6.348,1,0.0344,0.0002399999999999,0.0002819999999999,0.228,0.506,96.064,292720
spotify:track:0gXMYs6RDg5muWWoi2q3mb,0.225,0.7909999999999999,1,-6.416,1,0.0435,0.000283,1.39e-05,0.108,0.527,77.587,309360
spotify:track:1r5R9s4795zEhCNTy1O2Q9,0.81,0.628,11,-8.279,0,0.278,0.0122,0.0,0.0686,0.71,155.939,252587
spotify:track:3vrWzM5eZF4wNJrBwyYRix,0.745,0.516,4,-8.05,0,0.345,0.482,0.0,0.15,0.4629999999999999,76.808,283480
spotify:track:3Ou2b8qvsT8CwfdYkk3gPk,0.871,0.636,1,-10.58,1,0.365,0.00759,0.0,0.0689,0.6409999999999999,162.138,210280
spotify:track:1pUFYb9peWkK8m1WCKNRjp,0.607,0.897,10,-7.468,0,0.0448,0.177,0.885,0.17,0.391,130.549,208507
spotify:track:6WAerOuiLIApXmGhjMPA65,0.4039999999999999,0.83,10,-11.41,0,0.0527,0.00482,1.01e-05,0.3339999999999999,0.309,104.995,293600
spotify:track:6k9DUKMJpWvu6eFG3O64Lg,0.5760000000000001,0.727,4,-9.973,0,0.05,0.7020000000000001,0.0,0.324,0.7509999999999999,173.854,141293
spotify:track:2itBkHBUxGl4VfDj4HNyoD,0.7290000000000001,0.382,9,-14.07,1,0.0367,0.6990000000000001,0.0,0.152,0.637,112.179,166707
spotify:track:5rGD8FFgHw74cp3RPhucyg,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,234627
spotify:track:3RkQ3UwOyPqpIiIvGVewuU,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,330533
spotify:track:5Oer8yskMaCGXwGSfM7xr9,0.6809999999999999,0.257,4,-15.348,1,0.0695,0.597,0.0,0.161,0.5660000000000001,115.867,449093
spotify:track:4EgKcG7aswxVfQEqa3dl8S,0.6990000000000001,0.1969999999999999,4,-14.792,1,0.0383,0.655,0.0,0.0716,0.361,122.871,252067
spotify:track:27jbQySldKEX1W17293Mto,0.502,0.8240000000000001,4,-7.143,1,0.0428,0.00262,0.0002299999999999,0.155,0.85,105.179,134880
spotify:track:2ZyNYdziwt0ZS9mxRiwnXM,0.413,0.992,9,-3.923,0,0.375,0.0093,0.000562,0.2319999999999999,0.29,166.90599999999995,207773
spotify:track:2N67doY77tMPHF0fDizhhL,0.3989999999999999,0.91,8,-4.467,1,0.351,0.391,0.0,0.221,0.706,179.25099999999995,120600
spotify:track:0c5k25kAyEWxQybSJdgvHi,0.462,0.897,10,-5.545,0,0.4039999999999999,0.392,0.0,0.0985,0.938,165.671,205039
spotify:track:34yiU1VLABVWuoBZo5aWSt,0.6629999999999999,0.792,9,-6.745,1,0.287,0.0183,0.0,0.208,0.565,93.092,191493
spotify:track:1JBrqTDJ7BP4BgT6K7vm2c,0.5329999999999999,0.486,0,-7.9,0,0.0811,0.21,0.0,0.238,0.0397,83.55799999999998,136973
spotify:track:4l8u5h7OjkZo2UmyUoeKYJ,0.7090000000000001,0.8109999999999999,7,-6.603,1,0.0323,0.093,1.0800000000000003e-05,0.1,0.735,132.72799999999998,205093
spotify:track:3W3ZHm27GvXUzUD7R5vmB8,0.6559999999999999,0.3,4,-10.942,1,0.0325,0.48,4.33e-06,0.187,0.223,136.967,241400
spotify:track:4Z97fPClijupNV6a9Jvk9d,0.428,0.385,0,-7.898,1,0.0298,0.358,0.0,0.158,0.308,90.447,260907
spotify:track:33GUgWfsW8XyQ4CQQjxtGj,0.575,0.941,0,-5.102,0,0.0859,0.0771,0.0033799999999999,0.0798,0.921,174.78099999999995,243413
spotify:track:1mmaywWRQzNE5dt0eUISBd,0.725,0.529,0,-5.565,1,0.0375,0.0908,0.0028,0.174,0.6,144.707,287013
spotify:track:18aSjkfTxqlbDWmZFeEE3Y,0.622,0.8340000000000001,11,-6.46,1,0.026,0.0143,0.0047799999999999,0.0708,0.763,92.938,192293
spotify:track:5rlnxCS1XORh2Q7MCauwHh,0.4579999999999999,0.588,5,-6.225,1,0.0348,0.4579999999999999,0.0298,0.319,0.217,131.84799999999998,292573
spotify:track:2VV9KHwOfrS7ZOEzPZJFLJ,0.7290000000000001,0.5529999999999999,5,-8.982999999999997,1,0.085,0.266,0.0,0.0809,0.935,78.085,164600
spotify:track:2Hk4jErqEnIPoQlKCoa3i8,0.39,0.439,7,-13.924,1,0.0524,0.355,1.87e-06,0.0699,0.4029999999999999,188.257,163600
spotify:track:2Wgg8XEn4DBfbQy0tEIkPi,0.721,0.473,2,-10.5,0,0.0308,0.3279999999999999,0.000214,0.0591,0.346,130.317,222867
spotify:track:7nhSO9GYru1AYREmIq2Too,0.764,0.703,11,-5.6229999999999976,0,0.351,0.195,0.000559,0.141,0.377,119.948,168229
spotify:track:4Wt0oJhNlzjyMHhCF3MN7B,0.596,0.648,5,-7.107,1,0.0306,0.0466,0.779,0.23,0.342,139.987,359307
spotify:track:1DW0OXxWKOpYCQLDTCIzeF,0.3720000000000001,0.292,0,-17.429000000000002,0,0.0803,0.873,0.856,0.289,0.123,127.754,572000
spotify:track:6xxR2WCzYgE9ri0PXX5pV3,0.37,0.918,9,-10.685,1,0.187,0.0134,0.0434,0.607,0.362,152.79,347360
spotify:track:3eYCJXTViFwl5mdtcTsF4G,0.295,0.296,5,-13.94,1,0.0291,0.0936,0.000213,0.128,0.384,180.756,238400
spotify:track:1xKQbqQtQWrtQS47fUJBtl,0.4429999999999999,0.727,4,-7.951,1,0.145,0.263,0.0001409999999999,0.1689999999999999,0.5660000000000001,160.82,253333
spotify:track:6jXzkgISP6UfMEEaKkxWJw,0.3979999999999999,0.266,11,-14.661,0,0.0396,0.516,0.0165,0.218,0.25,81.045,567973
spotify:track:2QZfUwzHeJWkd1AGzzl8tJ,0.6709999999999999,0.818,6,-5.914,0,0.322,0.0625,1.62e-05,0.3289999999999999,0.682,92.84,226080
spotify:track:4w91cMvUD4P5jJ2EHCM8De,0.841,0.7140000000000001,1,-5.575,1,0.3339999999999999,0.02,0.0,0.081,0.377,84.0,243133
spotify:track:4e8eBAM2CLETuU3eAUIfqA,0.809,0.852,7,-4.537,1,0.268,0.0945,0.00315,0.551,0.7929999999999999,93.032,230240
spotify:track:6l4wMAXzI8RxIysQMYZY0w,0.769,0.675,6,-13.326,1,0.0724,0.000722,0.000149,0.0904,0.8029999999999999,101.884,252240
spotify:track:1TeVeYATRojNVCH7q1APiv,0.826,0.6579999999999999,0,-10.952,1,0.302,0.0759,1.86e-05,0.235,0.5710000000000001,98.05,243027
spotify:track:3IiGAQPWnlp1GmtoHr0ogW,0.847,0.5720000000000001,7,-12.06,1,0.1969999999999999,0.00171,0.00016,0.691,0.5760000000000001,109.195,197107
spotify:track:2NnqzqGQTis8uVPOub1k7k,0.8390000000000001,0.675,11,-14.271,0,0.34,0.0132,0.00128,0.152,0.672,102.145,208867
spotify:track:3bYrxDub4IJVA0g0FAbiYd,0.8390000000000001,0.3989999999999999,7,-11.916,1,0.55,0.00683,7.62e-06,0.484,0.4370000000000001,92.055,166107
spotify:track:2IyFYm8UYOjXWKxNJsG1yy,0.853,0.602,6,-14.649,1,0.265,0.0206,0.0058,0.102,0.5920000000000001,91.324,238933
spotify:track:3qzqmTeS5h6CrSPUq5JhiX,0.662,0.476,0,-14.114,0,0.0613,0.00186,0.00683,0.353,0.489,103.302,114907
spotify:track:5fEW5Xkr2Uke2cEYTqO3xd,0.639,0.4039999999999999,1,-5.779,1,0.0322,0.312,0.0,0.297,0.406,115.883,135467
spotify:track:7ohDjiv9YoigEpGcsb3uyb,0.446,0.0415,8,-15.728,1,0.0394,0.936,0.0,0.16,0.278,73.66,154227
spotify:track:0nDjzA4kns1QOWPXuOn6Xw,0.479,0.698,7,-7.914,1,0.0277,0.198,0.0,0.126,0.6729999999999999,159.69899999999996,201600
spotify:track:0DDGjbdZCFQwoD9mrUAxYV,0.5539999999999999,0.815,7,-7.954,1,0.0256,0.133,0.0,0.0778,0.618,99.333,213893
spotify:track:6dch9HH8lUXPmAQsUy7Hck,0.57,0.565,10,-9.301,1,0.0246,0.121,0.0,0.122,0.526,95.39,207840
spotify:track:2f50O9eDE3770AlLlYvrDq,0.478,0.267,3,-12.184,1,0.0305,0.88,0.0001699999999999,0.1969999999999999,0.289,71.334,281960
spotify:track:2tdaUYIP6VRFYcL7Hc95gO,0.519,0.357,0,-11.546,1,0.0269,0.346,0.000192,0.0879,0.233,138.651,201360
spotify:track:7iGdNkROFlxqUJkHNlkoQV,0.488,0.569,2,-7.322999999999999,1,0.0294,0.076,1.06e-06,0.0796,0.153,71.92,244507
spotify:track:0NJpYuKZ7LaRtVPEIVpRES,0.603,0.794,3,-6.407,1,0.0305,0.0706,0.0,0.212,0.475,112.8,228867
spotify:track:3jTqE7wrj361v0Vc4Cd3NN,0.4589999999999999,0.568,10,-8.74,1,0.0291,0.211,0.0,0.233,0.235,146.583,238600
spotify:track:3PRDsSXsEaVJaiOFrwlCvS,0.5589999999999999,0.5,4,-9.549,1,0.0252,0.341,9.15e-05,0.25,0.381,109.897,248960
spotify:track:1iqqbTuDyDdBllOFvga51I,0.568,0.615,7,-7.371,1,0.0268,0.0264,0.0,0.299,0.4429999999999999,79.917,210493
spotify:track:0khUsHfJrVCu3Pn4WuzNd5,0.545,0.498,2,-7.286,1,0.0266,0.195,0.0,0.1689999999999999,0.363,127.604,270107
spotify:track:4RtDZMumlKxsN7IL3AJPUx,0.657,0.513,10,-8.514,1,0.024,0.1989999999999999,0.0,0.0994,0.56,101.815,235760
spotify:track:5mZRkTQyAjUzwOecbbcLpX,0.622,0.893,5,-6.6320000000000014,1,0.032,0.0195,1.89e-06,0.299,0.818,124.992,213907
spotify:track:1dZRSXQzK9y4FlV7zgKBb4,0.67,0.7659999999999999,9,-6.755,1,0.0252,0.0586,0.0,0.0914,0.804,111.028,186267
spotify:track:4IHy0lCAlMBTfdGuzd0sVk,0.561,0.473,5,-9.972,1,0.0263,0.6459999999999999,3.44e-06,0.298,0.444,106.994,201133
spotify:track:2QnNiRQxsz8Q4wlzKD4fO4,0.652,0.8320000000000001,7,-6.604,1,0.0304,0.0306,0.0,0.123,0.687,115.247,236973
spotify:track:3who0NFrvf8GUGEzWeY2jh,0.54,0.664,7,-7.811,1,0.0284,0.253,1.08e-06,0.1169999999999999,0.748,181.585,244000
spotify:track:3IvcWWehbBcBR4YZxlGM9R,0.643,0.961,0,-5.297999999999999,1,0.0315,0.0196,0.0,0.948,0.96,124.027,205707
